                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.0872,                 1.1224,                 1.3707,                 1.1509,                 1.2181,                 1.3753,                0.70409,                0.64408,                0.71251,                 0.4693,                  1.191,                 1.0318,                 1.5634,                 1.2496,                 1.0956,                 1.6089,               0.003004,               0.003004,               0.003004
                    109,                  1.082,                 1.1039,                 1.3689,                 1.1542,                 1.2107,                  1.379,                0.70409,                0.64408,                0.71251,                 0.4693,                  1.191,                 1.0318,                 1.5634,                 1.2496,                 1.0956,                 1.6089,               0.002938,               0.002938,               0.002938
                    110,                 1.0903,                 1.1071,                 1.3602,                 1.1571,                 1.2049,                 1.3653,                0.76396,                 0.6467,                0.75096,                0.49271,                 1.1526,                0.98139,                 1.5273,                 1.2287,                  1.023,                 1.5841,               0.002872,               0.002872,               0.002872
                    111,                 1.0729,                 1.0934,                 1.3591,                 1.1392,                 1.2124,                 1.3651,                0.76396,                 0.6467,                0.75096,                0.49271,                 1.1526,                0.98139,                 1.5273,                 1.2287,                  1.023,                 1.5841,               0.002806,               0.002806,               0.002806
                    112,                 1.0608,                 1.0731,                 1.3468,                 1.1184,                 1.1868,                 1.3514,                0.76396,                 0.6467,                0.75096,                0.49271,                 1.1526,                0.98139,                 1.5273,                 1.2287,                  1.023,                 1.5841,                0.00274,                0.00274,                0.00274
                    113,                 1.0639,                 1.0756,                 1.3454,                 1.1145,                 1.1866,                   1.35,                0.76396,                 0.6467,                0.75096,                0.49271,                 1.1526,                0.98139,                 1.5273,                 1.2287,                  1.023,                 1.5841,               0.002674,               0.002674,               0.002674
                    114,                 1.0893,                 1.1122,                 1.3585,                 1.1615,                 1.2397,                  1.367,                0.76396,                 0.6467,                0.75096,                0.49271,                 1.1526,                0.98139,                 1.5273,                 1.2287,                  1.023,                 1.5841,               0.002608,               0.002608,               0.002608
                    115,                  1.078,                 1.1086,                  1.363,                 1.1346,                 1.2246,                 1.3655,                0.76396,                 0.6467,                0.75096,                0.49271,                 1.1526,                0.98139,                 1.5273,                 1.2287,                  1.023,                 1.5841,               0.002542,               0.002542,               0.002542
                    116,                 1.0817,                 1.0748,                 1.3552,                 1.1448,                 1.1718,                 1.3666,                0.76396,                 0.6467,                0.75096,                0.49271,                 1.1526,                0.98139,                 1.5273,                 1.2287,                  1.023,                 1.5841,               0.002476,               0.002476,               0.002476
                    117,                  1.074,                 1.0524,                 1.3505,                 1.1334,                 1.1546,                 1.3562,                0.76396,                 0.6467,                0.75096,                0.49271,                 1.1526,                0.98139,                 1.5273,                 1.2287,                  1.023,                 1.5841,                0.00241,                0.00241,                0.00241
                    118,                 1.0677,                 1.0589,                 1.3418,                 1.1356,                 1.1651,                 1.3501,                0.76396,                 0.6467,                0.75096,                0.49271,                 1.1526,                0.98139,                 1.5273,                 1.2287,                  1.023,                 1.5841,               0.002344,               0.002344,               0.002344
                    119,                 1.0632,                 1.0722,                 1.3386,                 1.1312,                 1.1752,                 1.3483,                0.76396,                 0.6467,                0.75096,                0.49271,                 1.1526,                0.98139,                 1.5273,                 1.2287,                  1.023,                 1.5841,               0.002278,               0.002278,               0.002278
                    120,                 1.0644,                 1.0527,                 1.3427,                 1.1303,                 1.1443,                  1.353,                0.70571,                0.66789,                0.73654,                0.49066,                 1.1691,                0.98948,                 1.5451,                 1.2049,                 1.0654,                 1.5812,               0.002212,               0.002212,               0.002212
                    121,                 1.0653,                 1.0757,                 1.3561,                 1.1307,                 1.1886,                 1.3663,                0.70571,                0.66789,                0.73654,                0.49066,                 1.1691,                0.98948,                 1.5451,                 1.2049,                 1.0654,                 1.5812,               0.002146,               0.002146,               0.002146
                    122,                  1.047,                 1.0589,                 1.3496,                   1.11,                  1.167,                 1.3565,                0.70571,                0.66789,                0.73654,                0.49066,                 1.1691,                0.98948,                 1.5451,                 1.2049,                 1.0654,                 1.5812,                0.00208,                0.00208,                0.00208
                    123,                 1.0532,                 1.0441,                 1.3345,                  1.126,                 1.1531,                 1.3455,                0.70571,                0.66789,                0.73654,                0.49066,                 1.1691,                0.98948,                 1.5451,                 1.2049,                 1.0654,                 1.5812,               0.002014,               0.002014,               0.002014
                    124,                 1.0602,                 1.0327,                 1.3438,                  1.122,                 1.1317,                 1.3473,                0.70571,                0.66789,                0.73654,                0.49066,                 1.1691,                0.98948,                 1.5451,                 1.2049,                 1.0654,                 1.5812,               0.001948,               0.001948,               0.001948
                    125,                 1.0591,                  1.052,                 1.3378,                 1.1241,                 1.1507,                 1.3466,                0.70571,                0.66789,                0.73654,                0.49066,                 1.1691,                0.98948,                 1.5451,                 1.2049,                 1.0654,                 1.5812,               0.001882,               0.001882,               0.001882
                    126,                 1.0371,                 1.0394,                 1.3344,                 1.1064,                 1.1342,                 1.3483,                0.70571,                0.66789,                0.73654,                0.49066,                 1.1691,                0.98948,                 1.5451,                 1.2049,                 1.0654,                 1.5812,               0.001816,               0.001816,               0.001816
                    127,                 1.0426,                 1.0265,                  1.325,                 1.1074,                 1.1301,                 1.3354,                0.70571,                0.66789,                0.73654,                0.49066,                 1.1691,                0.98948,                 1.5451,                 1.2049,                 1.0654,                 1.5812,                0.00175,                0.00175,                0.00175
                    128,                 1.0368,                 1.0265,                 1.3284,                 1.0983,                 1.1192,                 1.3386,                0.70571,                0.66789,                0.73654,                0.49066,                 1.1691,                0.98948,                 1.5451,                 1.2049,                 1.0654,                 1.5812,               0.001684,               0.001684,               0.001684
                    129,                 1.0421,                 1.0179,                 1.3375,                 1.1049,                 1.1126,                 1.3477,                0.70571,                0.66789,                0.73654,                0.49066,                 1.1691,                0.98948,                 1.5451,                 1.2049,                 1.0654,                 1.5812,               0.001618,               0.001618,               0.001618
                    130,                 1.0279,                 1.0232,                 1.3236,                 1.0899,                 1.1196,                 1.3324,                0.76099,                0.67262,                0.75711,                0.50187,                 1.1595,                0.94517,                 1.5328,                 1.2086,                 1.0113,                   1.57,               0.001552,               0.001552,               0.001552
                    131,                 1.0323,                 1.0058,                 1.3287,                 1.1004,                 1.1044,                 1.3373,                0.76099,                0.67262,                0.75711,                0.50187,                 1.1595,                0.94517,                 1.5328,                 1.2086,                 1.0113,                   1.57,               0.001486,               0.001486,               0.001486
                    132,                 1.0515,                 1.0082,                 1.3386,                 1.1171,                 1.1004,                 1.3476,                0.76099,                0.67262,                0.75711,                0.50187,                 1.1595,                0.94517,                 1.5328,                 1.2086,                 1.0113,                   1.57,                0.00142,                0.00142,                0.00142
                    133,                 1.0365,                 1.0032,                 1.3367,                 1.1033,                 1.1032,                 1.3492,                0.76099,                0.67262,                0.75711,                0.50187,                 1.1595,                0.94517,                 1.5328,                 1.2086,                 1.0113,                   1.57,               0.001354,               0.001354,               0.001354
                    134,                 1.0449,                 1.0191,                 1.3368,                 1.1023,                 1.1107,                 1.3459,                0.76099,                0.67262,                0.75711,                0.50187,                 1.1595,                0.94517,                 1.5328,                 1.2086,                 1.0113,                   1.57,               0.001288,               0.001288,               0.001288
                    135,                 1.0408,                0.99502,                 1.3259,                 1.1072,                 1.0958,                  1.337,                0.76099,                0.67262,                0.75711,                0.50187,                 1.1595,                0.94517,                 1.5328,                 1.2086,                 1.0113,                   1.57,               0.001222,               0.001222,               0.001222
                    136,                 1.0302,                 1.0022,                 1.3274,                  1.093,                 1.0924,                 1.3362,                0.76099,                0.67262,                0.75711,                0.50187,                 1.1595,                0.94517,                 1.5328,                 1.2086,                 1.0113,                   1.57,               0.001156,               0.001156,               0.001156
                    137,                 1.0218,                0.99218,                 1.3125,                 1.0816,                 1.0884,                 1.3186,                0.76099,                0.67262,                0.75711,                0.50187,                 1.1595,                0.94517,                 1.5328,                 1.2086,                 1.0113,                   1.57,                0.00109,                0.00109,                0.00109
                    138,                 1.0436,                0.99255,                 1.3301,                 1.0922,                 1.0776,                 1.3324,                0.76099,                0.67262,                0.75711,                0.50187,                 1.1595,                0.94517,                 1.5328,                 1.2086,                 1.0113,                   1.57,               0.001024,               0.001024,               0.001024
                    139,                 1.0237,                0.98597,                 1.3129,                 1.0794,                 1.0986,                 1.3152,                0.76099,                0.67262,                0.75711,                0.50187,                 1.1595,                0.94517,                 1.5328,                 1.2086,                 1.0113,                   1.57,               0.000958,               0.000958,               0.000958
                    140,                 1.0337,                0.98595,                  1.326,                 1.0948,                 1.0777,                 1.3328,                0.74129,                0.68973,                0.77607,                0.52237,                 1.1553,                0.91957,                 1.5321,                 1.2111,                0.94539,                 1.5703,               0.000892,               0.000892,               0.000892
                    141,                0.97151,                 0.8762,                 1.3786,                 1.0216,                0.91217,                 1.4095,                0.74384,                0.67195,                0.75955,                 0.5058,                 1.1426,                0.93224,                 1.5099,                 1.1966,                0.98587,                 1.5454,               0.000826,               0.000826,               0.000826
                    142,                0.96551,                0.85328,                 1.3754,                  1.016,                0.87945,                 1.4076,                0.78008,                0.67858,                0.77082,                0.51888,                  1.145,                0.91606,                 1.5177,                 1.1944,                0.93862,                 1.5412,                0.00076,                0.00076,                0.00076
                    143,                0.93356,                0.81932,                 1.3502,                 0.9922,                0.83732,                 1.3899,                0.74445,                0.70333,                0.77228,                0.51907,                 1.1459,                0.91043,                  1.524,                 1.1923,                0.95901,                 1.5489,               0.000694,               0.000694,               0.000694
                    144,                 0.9331,                0.79867,                 1.3478,                0.97611,                0.81084,                 1.3751,                0.74012,                 0.6888,                0.76471,                0.51862,                 1.1385,                 0.9158,                  1.518,                 1.1779,                0.96816,                 1.5382,               0.000628,               0.000628,               0.000628
                    145,                0.93657,                0.78841,                 1.3509,                0.97983,                0.80638,                 1.3819,                0.73843,                0.69959,                 0.7722,                0.52474,                  1.133,                0.91298,                 1.5124,                 1.1807,                0.93753,                 1.5408,               0.000562,               0.000562,               0.000562
                    146,                0.92953,                0.77416,                 1.3339,                0.98215,                0.79551,                 1.3724,                0.74117,                0.69852,                0.77059,                0.52148,                 1.1256,                0.90606,                 1.5037,                 1.1881,                 0.9425,                 1.5394,               0.000496,               0.000496,               0.000496
                    147,                0.92713,                0.78455,                 1.3397,                0.97362,                 0.8093,                 1.3723,                0.75967,                 0.6731,                0.76792,                0.51947,                  1.133,                0.90749,                  1.508,                  1.182,                0.95261,                 1.5285,                0.00043,                0.00043,                0.00043
                    148,                0.91772,                0.77432,                 1.3323,                0.96952,                0.80113,                 1.3715,                0.75081,                0.69803,                0.77551,                0.52903,                 1.1211,                0.91133,                 1.5034,                  1.173,                0.94202,                 1.5273,               0.000364,               0.000364,               0.000364
                    149,                0.91951,                0.78313,                 1.3227,                0.95812,                 0.7939,                 1.3482,                 0.7814,                0.67121,                0.77053,                0.52527,                 1.1278,                0.91032,                 1.5108,                 1.1778,                0.93789,                  1.533,               0.000298,               0.000298,               0.000298
                    150,                0.91119,                0.75724,                 1.3179,                0.95205,                0.78138,                 1.3446,                 0.7625,                0.67777,                0.77246,                 0.5262,                 1.1286,                0.90962,                 1.5127,                 1.1762,                0.93808,                 1.5343,               0.000232,               0.000232,               0.000232
